state,action,next_state,SINR
"[1, 4000000000.0, 20, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[0, 2, 3, 1, 1, 0, 0]","[1, 4000000000.0, 25, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-12.320392608642578
"[1, 4000000000.0, 25, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[2, 1, 1, 3, 1, 0, 0]","[1, 4000000000.0, 30, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",12.591501235961914
"[1, 4000000000.0, 30, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[0, 2, 0, 0, 1, 0, 0]","[1, 4500000000.0, 1, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-11.048629760742188
"[1, 4500000000.0, 1, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[4, 2, 0, 2, 1, 1, 0]","[1, 4500000000.0, 5, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",14.205179214477539
"[1, 4500000000.0, 5, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[1, 0, 1, 2, 0, 0, 0]","[1, 4500000000.0, 10, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",11.115416526794434
"[1, 4500000000.0, 10, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[4, 1, 1, 2, 0, 0, 0]","[1, 4500000000.0, 15, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-7.1973676681518555
"[1, 4500000000.0, 15, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[1, 1, 3, 0, 1, 0, 0]","[1, 4500000000.0, 20, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-6.369755744934082
"[1, 4500000000.0, 20, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[0, 2, 2, 2, 0, 1, 0]","[1, 4500000000.0, 25, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",7.440366744995117
"[1, 4500000000.0, 25, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[0, 0, 2, 3, 0, 1, 0]","[1, 4500000000.0, 30, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",8.045716285705566
"[1, 4500000000.0, 30, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[0, 0, 3, 1, 0, 0, 0]","[1, 5000000000.0, 1, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-4.077138423919678
"[1, 5000000000.0, 1, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[0, 2, 3, 2, 1, 0, 0]","[1, 5000000000.0, 5, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-2.967844009399414
"[1, 5000000000.0, 5, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[2, 2, 1, 0, 1, 0, 0]","[1, 5000000000.0, 10, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",12.626691818237305
"[1, 5000000000.0, 10, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[2, 0, 2, 0, 1, 0, 0]","[1, 5000000000.0, 15, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",10.44284439086914
"[1, 5000000000.0, 15, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[2, 2, 0, 2, 0, 1, 0]","[1, 5000000000.0, 20, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-11.002618789672852
"[1, 5000000000.0, 20, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[3, 1, 2, 1, 0, 0, 0]","[1, 5000000000.0, 25, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",10.166868209838867
